"Inflation rate, average consumer prices (Annual percent change)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Malaysia,6.7,9.7,5.8,3.7,3.9,2.6,0.4,0.7,0.3,2.6,3,4.3,4.8,3.5,3.7,3.5,3.5,2.7,5.3,2.7,1.6,1.4,1.8,1.1,1.4,3,3.6,2,5.4,0.6,1.7,3.2,1.7,2.1,3.1,2.1,2.1,3.8,1,0.7,-1.1,2.5,3.4,2.5,1.8,1.6,2.2,2,2,2,2
Emerging market and developing economies,26.6,23.5,27.1,30.1,32.3,33.2,31.7,40.7,57.3,65.5,78.8,44.6,121.6,122,90.4,40.7,21,13.8,13.7,13.7,9.1,8.3,6.8,6.7,6.2,6,5.9,6.3,9.4,5.2,5.7,7.1,5.8,5.5,4.7,4.8,4.3,4.5,4.9,5.2,5.3,5.9,9.7,8.2,7.9,5.3,4.7,4.2,4.1,3.9,3.9
